,id,x,y,date,R1dmed,R1dmean,R1error,R2error,sunrise,sunrise.hours,sunset,sunset.hours,diel,revisits
1,Bertha,730875.8334,5736544.387,16/08/2021 16:00,302.1048855,450.0133623,FALSE,FALSE,16/08/2021 7:11,8.815555556,16/08/2021 17:50,-1.838055556,day,13
2,Bertha,730947.313,5736732.277,16/08/2021 17:00,265.6691852,523.053905,FALSE,FALSE,16/08/2021 7:11,9.815555556,16/08/2021 17:50,-0.838055556,day,6
3,Bertha,731131.9585,5736592.32,16/08/2021 21:00,41.96617478,306.4516246,FALSE,FALSE,16/08/2021 7:11,-10.18444444,16/08/2021 17:50,3.161944444,night,33
4,Bertha,731189.7707,5736655.915,16/08/2021 22:00,64.31885963,348.3390058,FALSE,FALSE,16/08/2021 7:11,-9.184444444,16/08/2021 17:50,4.161944444,night,12
5,Bertha,731134.1257,5736797.579,16/08/2021 23:00,141.8779392,499.1547438,FALSE,FALSE,16/08/2021 7:11,-8.184444444,16/08/2021 17:50,5.161944444,night,6
6,Bertha,731141.9142,5736789.723,17/08/2021 4:00,134.7762651,489.582311,FALSE,FALSE,17/08/2021 7:09,-3.163055556,17/08/2021 17:51,-13.8525,night,4
7,Bertha,731144.0214,5736782.254,17/08/2021 5:00,190.4506821,481.8241315,FALSE,FALSE,17/08/2021 7:09,-2.163055556,17/08/2021 17:51,-12.8525,night,3
8,Bertha,731158.0406,5736531.252,17/08/2021 6:00,31.7301,240.1116269,FALSE,FALSE,17/08/2021 7:09,-1.163055556,17/08/2021 17:51,-11.8525,night,25
9,Bertha,731234.3461,5736212.951,17/08/2021 7:00,41.5131,172.3833508,FALSE,FALSE,17/08/2021 7:09,-0.163055556,17/08/2021 17:51,-10.8525,night,20
10,Bertha,731239.1364,5736209.836,17/08/2021 8:00,46.3034,159.4605867,FALSE,FALSE,17/08/2021 7:09,0.836944444,17/08/2021 17:51,-9.8525,day,22
11,Bertha,731217.1911,5736191.43,17/08/2021 9:00,12.981,153.9732787,FALSE,FALSE,17/08/2021 7:09,1.836944444,17/08/2021 17:51,-8.8525,day,24
12,Bertha,731088.0823,5736108.074,17/08/2021 14:00,168.5814421,247.1973863,FALSE,FALSE,17/08/2021 7:09,6.836944444,17/08/2021 17:51,-3.8525,day,6
13,Bertha,731228.9386,5736158.911,17/08/2021 18:00,32.5577747,143.9876522,FALSE,FALSE,17/08/2021 7:09,10.83694444,17/08/2021 17:51,0.1475,night,42
14,Bertha,731230.5271,5736200.698,17/08/2021 20:00,41.787,82.40960903,FALSE,FALSE,17/08/2021 7:09,-11.16305556,17/08/2021 17:51,2.1475,night,24
15,Bertha,731116.7244,5736204.411,17/08/2021 21:00,121.0878883,101.0419816,FALSE,FALSE,17/08/2021 7:09,-10.16305556,17/08/2021 17:51,3.1475,night,8
16,Bertha,731538.1495,5735805.409,18/08/2021 3:00,469.6541756,522.712761,FALSE,FALSE,18/08/2021 7:08,-4.141388889,18/08/2021 17:52,-14.86722222,night,21
17,Bertha,731412.3348,5735877.931,18/08/2021 4:00,335.5352837,365.4744294,FALSE,FALSE,18/08/2021 7:08,-3.141388889,18/08/2021 17:52,-13.86722222,night,36
18,Bertha,731368.4352,5736099.571,18/08/2021 5:00,151.5933277,158.7758366,FALSE,FALSE,18/08/2021 7:08,-2.141388889,18/08/2021 17:52,-12.86722222,night,28
19,Bertha,731202.5956,5736093.022,18/08/2021 6:00,82.23486127,63.21816019,FALSE,FALSE,18/08/2021 7:08,-1.141388889,18/08/2021 17:52,-11.86722222,night,31
20,Bertha,731059.5137,5736170.368,18/08/2021 7:00,173.0940285,174.6330182,FALSE,FALSE,18/08/2021 7:08,-0.141388889,18/08/2021 17:52,-10.86722222,night,3
21,Bertha,731254.0188,5736236.711,18/08/2021 8:00,87.25036586,96.67954607,FALSE,FALSE,18/08/2021 7:08,0.858611111,18/08/2021 17:52,-9.867222222,day,19
22,Bertha,731182.9844,5736249.211,18/08/2021 9:00,92.62417745,127.9797661,FALSE,FALSE,18/08/2021 7:08,1.858611111,18/08/2021 17:52,-8.867222222,day,10
23,Bertha,730936.8081,5736151.674,18/08/2021 11:00,299.6889081,306.4658738,FALSE,FALSE,18/08/2021 7:08,3.858611111,18/08/2021 17:52,-6.867222222,day,4
24,Bertha,731231.5953,5736205.655,18/08/2021 12:00,0.449,82.94493777,FALSE,FALSE,18/08/2021 7:08,4.858611111,18/08/2021 17:52,-5.867222222,day,24
25,Bertha,731234.491,5736206.471,18/08/2021 15:00,2.8957,109.4718809,FALSE,FALSE,18/08/2021 7:08,7.858611111,18/08/2021 17:52,-2.867222222,day,23
26,Bertha,731225.6631,5736206.104,18/08/2021 16:00,5.9322,92.89670624,FALSE,FALSE,18/08/2021 7:08,8.858611111,18/08/2021 17:52,-1.867222222,day,23
27,Bertha,731263.1223,5736254.81,18/08/2021 17:00,56.88554618,124.5355182,FALSE,FALSE,18/08/2021 7:08,9.858611111,18/08/2021 17:52,-0.867222222,day,7
28,Bertha,731385.1415,5736258.99,18/08/2021 18:00,151.4315188,187.2920795,FALSE,FALSE,18/08/2021 7:08,10.85861111,18/08/2021 17:52,0.132777778,night,3
29,Bertha,731212.9451,5736098.933,18/08/2021 20:00,41.0571,51.01597079,FALSE,FALSE,18/08/2021 7:08,-11.14138889,18/08/2021 17:52,2.132777778,night,35
30,Bertha,731361.464,5735945.336,19/08/2021 0:00,199.951262,196.3541228,FALSE,FALSE,19/08/2021 7:07,-7.119444444,19/08/2021 17:52,-17.88166667,night,22
31,Bertha,731254.0022,5736008.085,19/08/2021 1:00,105.8933668,101.7672592,FALSE,FALSE,19/08/2021 7:07,-6.119444444,19/08/2021 17:52,-16.88166667,night,21
