,Unnamed: 0,id,x,y,date,R1dmed,R1dmean,R1error,R2error,sunrise,sunrise.hours,sunset,sunset.hours,diel,revisits,day,avg_distance
0,1,Bertha,143.64712679975906,-38.489559703009256,16/08/2021 16:00,302.1048855,450.0133623,False,False,16/08/2021 7:11,8.815555556,16/08/2021 17:50,-1.838055556,day,13,16-Aug-2021,200.97573803891268
1,2,Bertha,143.64788360039464,-38.48784970373783,16/08/2021 17:00,265.6691852,523.053905,False,False,16/08/2021 7:11,9.815555556,16/08/2021 17:50,-0.838055556,day,6,16-Aug-2021,57.908492809009914
2,3,Bertha,143.6500446996012,-38.48906180201918,16/08/2021 21:00,41.96617478,306.4516246,False,False,16/08/2021 7:11,-10.18444444,16/08/2021 17:50,3.161944444,night,33,16-Aug-2021,85.92300631703937
3,4,Bertha,143.6506859002905,-38.488474295039325,16/08/2021 22:00,64.31885963,348.3390058,False,False,16/08/2021 7:11,-9.184444444,16/08/2021 17:50,4.161944444,night,12,16-Aug-2021,152.16143217309738
4,5,Bertha,143.65000179988837,-38.487213398655925,16/08/2021 23:00,141.8779392,499.1547438,False,False,16/08/2021 7:11,-8.184444444,16/08/2021 17:50,5.161944444,night,6,16-Aug-2021,2.2119163919797398
5,6,Bertha,143.65009360017487,-38.48728210249509,17/08/2021 4:00,134.7762651,489.582311,False,False,17/08/2021 7:09,-3.163055556,17/08/2021 17:51,-13.8525,night,4,17-Aug-2021,7.758555811369802
6,7,Bertha,143.65012020007424,-38.487348795621784,17/08/2021 5:00,190.4506821,481.8241315,False,False,17/08/2021 7:09,-2.163055556,17/08/2021 17:51,-12.8525,night,3,17-Aug-2021,251.32834805679343
7,8,Bertha,143.6503635996757,-38.48960480138532,17/08/2021 6:00,31.7301,240.1116269,False,False,17/08/2021 7:09,-1.163055556,17/08/2021 17:51,-11.8525,night,25,17-Aug-2021,327.2349761174743
8,9,Bertha,143.65134270032502,-38.492450503394224,17/08/2021 7:00,41.5131,172.3833508,False,False,17/08/2021 7:09,-0.163055556,17/08/2021 17:51,-10.8525,night,20,17-Aug-2021,5.712558393215882
9,10,Bertha,143.65139860006266,-38.492477303112885,17/08/2021 8:00,46.3034,159.4605867,False,False,17/08/2021 7:09,0.836944444,17/08/2021 17:51,-9.8525,day,22,17-Aug-2021,28.634822950918245
10,11,Bertha,143.65115330023858,-38.492648696705764,17/08/2021 9:00,12.981,153.9732787,False,False,17/08/2021 7:09,1.836944444,17/08/2021 17:51,-8.8525,day,24,17-Aug-2021,30.727916079292765
11,12,Bertha,143.64970190017598,-38.4934325964349,17/08/2021 14:00,168.5814421,247.1973863,False,False,17/08/2021 7:09,6.836944444,17/08/2021 17:51,-3.8525,day,6,17-Aug-2021,37.42770295983926
12,13,Bertha,143.651298600504,-38.49293839997572,17/08/2021 18:00,32.5577747,143.9876522,False,False,17/08/2021 7:09,10.83694444,17/08/2021 17:51,0.1475,night,42,17-Aug-2021,20.903187639310104
13,14,Bertha,143.6513030002666,-38.49256180158962,17/08/2021 20:00,41.787,82.40960903,False,False,17/08/2021 7:09,-11.16305556,17/08/2021 17:51,2.1475,night,24,17-Aug-2021,113.83386648185412
14,15,Bertha,143.64999820003288,-38.4925578966908,17/08/2021 21:00,121.0878883,101.0419816,False,False,17/08/2021 7:09,-10.16305556,17/08/2021 17:51,3.1475,night,8,17-Aug-2021,96.69931671289129
15,16,Bertha,143.65495739992454,-38.49604049550683,18/08/2021 3:00,469.6541756,522.712761,False,False,18/08/2021 7:08,-4.141388889,18/08/2021 17:52,-14.86722222,night,21,18-Aug-2021,145.18203034345396
16,17,Bertha,143.6534922002993,-38.495420303786936,18/08/2021 4:00,335.5352837,365.4744294,False,False,18/08/2021 7:08,-3.141388889,18/08/2021 17:52,-13.86722222,night,36,18-Aug-2021,225.88711462951943
17,18,Bertha,143.652916100303,-38.49343639930364,18/08/2021 5:00,151.5933277,158.7758366,False,False,18/08/2021 7:08,-2.141388889,18/08/2021 17:52,-12.86722222,night,28,18-Aug-2021,165.92591628655876
18,19,Bertha,143.651018599473,-38.49353839872653,18/08/2021 6:00,82.23486127,63.21816019,False,False,18/08/2021 7:08,-1.141388889,18/08/2021 17:52,-11.86722222,night,31,18-Aug-2021,162.60747865535407
19,20,Bertha,143.64935409968624,-38.49287920367482,18/08/2021 7:00,173.0940285,174.6330182,False,False,18/08/2021 7:08,-0.141388889,18/08/2021 17:52,-10.86722222,night,3,18-Aug-2021,205.45519463088928
20,21,Bertha,143.6515601994477,-38.492231499952574,18/08/2021 8:00,87.25036586,96.67954607,False,False,18/08/2021 7:08,0.858611111,18/08/2021 17:52,-9.867222222,day,19,18-Aug-2021,72.10719984392355
21,22,Bertha,143.65074240036301,-38.49213739924738,18/08/2021 9:00,92.62417745,127.9797661,False,False,18/08/2021 7:08,1.858611111,18/08/2021 17:52,-8.867222222,day,10,18-Aug-2021,132.36326683700503
22,23,Bertha,143.64795470036552,-38.493079303310424,18/08/2021 11:00,299.6889081,306.4658738,False,False,18/08/2021 7:08,3.858611111,18/08/2021 17:52,-6.867222222,day,4,18-Aug-2021,299.61170916040106
23,24,Bertha,143.65131359960233,-38.4925168991766,18/08/2021 12:00,0.449,82.94493777,False,False,18/08/2021 7:08,4.858611111,18/08/2021 17:52,-5.867222222,day,24,18-Aug-2021,1.0025665273292075
24,25,Bertha,143.65134649950485,-38.492508801802586,18/08/2021 15:00,2.8957,109.4718809,False,False,18/08/2021 7:08,7.858611111,18/08/2021 17:52,-2.867222222,day,23,18-Aug-2021,8.833241965334508
25,26,Bertha,143.6512454999287,-38.492514396288804,18/08/2021 16:00,5.9322,92.89670624,False,False,18/08/2021 7:08,8.858611111,18/08/2021 17:52,-1.867222222,day,23,18-Aug-2021,61.4289375725556
26,27,Bertha,143.6516585005649,-38.49206620192188,18/08/2021 17:00,56.88554618,124.5355182,False,False,18/08/2021 7:08,9.858611111,18/08/2021 17:52,-0.867222222,day,7,18-Aug-2021,122.05915896408908
27,28,Bertha,143.65305480003065,-38.49199689891687,18/08/2021 18:00,151.4315188,187.2920795,False,False,18/08/2021 7:08,10.85861111,18/08/2021 17:52,0.132777778,night,3,18-Aug-2021,117.51727241081585
28,29,Bertha,143.6511351998921,-38.49348249989702,18/08/2021 20:00,41.0571,51.01597079,False,False,18/08/2021 7:08,-11.14138889,18/08/2021 17:52,2.132777778,night,35,18-Aug-2021,53.400773108477416
29,30,Bertha,143.65288719997386,-38.49482670311532,19/08/2021 0:00,199.951262,196.3541228,False,False,19/08/2021 7:07,-7.119444444,19/08/2021 17:52,-17.88166667,night,22,19-Aug-2021,124.40843652387576
30,31,Bertha,143.65163550040188,-38.49428970229389,19/08/2021 1:00,105.8933668,101.7672592,False,False,19/08/2021 7:07,-6.119444444,19/08/2021 17:52,-16.88166667,night,21,19-Aug-2021,130.8671312256779
31,32,Bertha,143.65269509980973,-38.493455202508514,19/08/2021 2:00,86.23031054,70.7301674,False,False,19/08/2021 7:07,-5.119444444,19/08/2021 17:52,-15.88166667,night,33,19-Aug-2021,29.222728525235066
32,33,Bertha,143.65171389976527,-38.49328469558594,19/08/2021 5:00,8.672506688,43.31293964,False,False,19/08/2021 7:07,-2.119444444,19/08/2021 17:52,-12.88166667,night,60,19-Aug-2021,4.565173388559593
33,34,Bertha,143.65179539957816,-38.4933362961333,19/08/2021 7:00,3.920208586,42.97426333,False,False,19/08/2021 7:07,-0.119444444,19/08/2021 17:52,-10.88166667,night,62,19-Aug-2021,12.166655560099702
34,35,Bertha,143.6517148998895,-38.49324679510903,19/08/2021 8:00,10.8711464,61.71317917,False,False,19/08/2021 7:07,0.880555556,19/08/2021 17:52,-9.881666667,day,58,19-Aug-2021,18.625005115929213
35,36,Bertha,143.65187340029385,-38.493359198130655,19/08/2021 9:00,9.921383331,49.27804371,False,False,19/08/2021 7:07,1.880555556,19/08/2021 17:52,-8.881666667,day,61,19-Aug-2021,46.55425271814729
36,37,Bertha,143.65167590003756,-38.49374880291617,19/08/2021 10:00,49.21439916,31.98871712,False,False,19/08/2021 7:07,2.880555556,19/08/2021 17:52,-7.881666667,day,59,19-Aug-2021,105.32629928457584
37,38,Bertha,143.6522435996047,-38.49458619960954,19/08/2021 11:00,147.7102686,85.76546754,False,False,19/08/2021 7:07,3.880555556,19/08/2021 17:52,-6.881666667,day,10,19-Aug-2021,147.6720482778231
38,39,Bertha,143.651762300064,-38.493310800066666,19/08/2021 12:00,2.913,58.75692437,False,False,19/08/2021 7:07,4.880555556,19/08/2021 17:52,-5.881666667,day,63,19-Aug-2021,124.74913288271087
39,40,Bertha,143.6509632995769,-38.49237880041344,19/08/2021 13:00,127.1534643,176.9260638,False,False,19/08/2021 7:07,5.880555556,19/08/2021 17:52,-4.881666667,day,21,19-Aug-2021,63.0148460460148
40,41,Bertha,143.6517941005587,-38.49330760185296,19/08/2021 15:00,6.824801645,38.97969914,False,False,19/08/2021 7:07,7.880555556,19/08/2021 17:52,-2.881666667,day,63,19-Aug-2021,15.1044514818127
41,42,Bertha,143.6516256999369,-38.49327599896876,19/08/2021 16:00,14.49925706,35.52239924,False,False,19/08/2021 7:07,8.880555556,19/08/2021 17:52,-1.881666667,day,60,19-Aug-2021,10.210896972224747
42,43,Bertha,143.65169470044745,-38.493350299505856,19/08/2021 17:00,6.0229,44.32705554,False,False,19/08/2021 7:07,9.880555556,19/08/2021 17:52,-0.881666667,day,64,19-Aug-2021,17.35508360655958
43,44,Bertha,143.65174230027762,-38.49350210188052,19/08/2021 18:00,16.242,50.22442577,False,False,19/08/2021 7:07,10.88055556,19/08/2021 17:52,0.118333333,night,64,19-Aug-2021,17.216526102536882
44,45,Bertha,143.65180249966267,-38.493354398433794,19/08/2021 19:00,5.7236,56.19111187,False,False,19/08/2021 7:07,11.88055556,19/08/2021 17:52,1.118333333,night,62,19-Aug-2021,4.786767419481444
45,46,Bertha,143.65188529958516,-38.49341099701057,19/08/2021 21:00,23.35492421,69.98481449,False,False,19/08/2021 7:07,-10.11944444,19/08/2021 17:52,3.118333333,night,63,19-Aug-2021,88.61181903626593
46,47,Bertha,143.65287549972518,-38.4935888037542,19/08/2021 22:00,113.7063665,165.0476741,False,False,19/08/2021 7:07,-9.119444444,19/08/2021 17:52,4.118333333,night,30,19-Aug-2021,381.5261593292958
47,48,Bertha,143.64859560012567,-38.49429530034372,19/08/2021 23:00,265.6441159,245.1652719,False,False,19/08/2021 7:07,-8.119444444,19/08/2021 17:52,5.118333333,night,2,19-Aug-2021,91.48901584250119
